"AREA_NAME_id","HOOD_ID","POPULATION_2023","ASSAULT_2014","ASSAULT_RATE_2014","AUTOTHEFT_2014","AUTOTHEFT_RATE_2014","BIKETHEFT_2014","BIKETHEFT_RATE_2014","BREAKENTER_2014","BREAKENTER_RATE_2014","HOMICIDE_2014","HOMICIDE_RATE_2014","ROBBERY_2014","ROBBERY_RATE_2014","SHOOTING_2014","SHOOTING_RATE_2014","THEFTFROMMV_2014","THEFTFROMMV_RATE_2014","THEFTOVER_2014","THEFTOVER_RATE_2014","ASSAULT_2015","ASSAULT_RATE_2015","AUTOTHEFT_2015","AUTOTHEFT_RATE_2015","BIKETHEFT_2015","BIKETHEFT_RATE_2015","BREAKENTER_2015","BREAKENTER_RATE_2015","HOMICIDE_2015","HOMICIDE_RATE_2015","ROBBERY_2015","ROBBERY_RATE_2015","SHOOTING_2015","SHOOTING_RATE_2015","THEFTFROMMV_2015","THEFTFROMMV_RATE_2015","THEFTOVER_2015","THEFTOVER_RATE_2015","ASSAULT_2016","ASSAULT_RATE_2016","AUTOTHEFT_2016","AUTOTHEFT_RATE_2016","BIKETHEFT_2016","BIKETHEFT_RATE_2016","BREAKENTER_2016","BREAKENTER_RATE_2016","HOMICIDE_2016","HOMICIDE_RATE_2016","ROBBERY_2016","ROBBERY_RATE_2016","SHOOTING_2016","SHOOTING_RATE_2016","THEFTFROMMV_2016","THEFTFROMMV_RATE_2016","THEFTOVER_2016","THEFTOVER_RATE_2016","ASSAULT_2017","ASSAULT_RATE_2017","AUTOTHEFT_2017","AUTOTHEFT_RATE_2017","BIKETHEFT_2017","BIKETHEFT_RATE_2017","BREAKENTER_2017","BREAKENTER_RATE_2017","HOMICIDE_2017","HOMICIDE_RATE_2017","ROBBERY_2017","ROBBERY_RATE_2017","SHOOTING_2017","SHOOTING_RATE_2017","THEFTFROMMV_2017","THEFTFROMMV_RATE_2017","THEFTOVER_2017","THEFTOVER_RATE_2017","ASSAULT_2018","ASSAULT_RATE_2018","AUTOTHEFT_2018","AUTOTHEFT_RATE_2018","BIKETHEFT_2018","BIKETHEFT_RATE_2018","BREAKENTER_2018","BREAKENTER_RATE_2018","HOMICIDE_2018","HOMICIDE_RATE_2018","ROBBERY_2018","ROBBERY_RATE_2018","SHOOTING_2018","SHOOTING_RATE_2018","THEFTFROMMV_2018","THEFTFROMMV_RATE_2018","THEFTOVER_2018","THEFTOVER_RATE_2018","ASSAULT_2019","ASSAULT_RATE_2019","AUTOTHEFT_2019","AUTOTHEFT_RATE_2019","BIKETHEFT_2019","BIKETHEFT_RATE_2019","BREAKENTER_2019","BREAKENTER_RATE_2019","HOMICIDE_2019","HOMICIDE_RATE_2019","ROBBERY_2019","ROBBERY_RATE_2019","SHOOTING_2019","SHOOTING_RATE_2019","THEFTFROMMV_2019","THEFTFROMMV_RATE_2019","THEFTOVER_2019","THEFTOVER_RATE_2019","ASSAULT_2020","ASSAULT_RATE_2020","AUTOTHEFT_2020","AUTOTHEFT_RATE_2020","BIKETHEFT_2020","BIKETHEFT_RATE_2020","BREAKENTER_2020","BREAKENTER_RATE_2020","HOMICIDE_2020","HOMICIDE_RATE_2020","ROBBERY_2020","ROBBERY_RATE_2020","SHOOTING_2020","SHOOTING_RATE_2020","THEFTFROMMV_2020","THEFTFROMMV_RATE_2020","THEFTOVER_2020","THEFTOVER_RATE_2020","ASSAULT_2021","ASSAULT_RATE_2021","AUTOTHEFT_2021","AUTOTHEFT_RATE_2021","BIKETHEFT_2021","BIKETHEFT_RATE_2021","BREAKENTER_2021","BREAKENTER_RATE_2021","HOMICIDE_2021","HOMICIDE_RATE_2021","ROBBERY_2021","ROBBERY_RATE_2021","SHOOTING_2021","SHOOTING_RATE_2021","THEFTFROMMV_2021","THEFTFROMMV_RATE_2021","THEFTOVER_2021","THEFTOVER_RATE_2021","ASSAULT_2022","ASSAULT_RATE_2022","AUTOTHEFT_2022","AUTOTHEFT_RATE_2022","BIKETHEFT_2022","BIKETHEFT_RATE_2022","BREAKENTER_2022","BREAKENTER_RATE_2022","HOMICIDE_2022","HOMICIDE_RATE_2022","ROBBERY_2022","ROBBERY_RATE_2022","SHOOTING_2022","SHOOTING_RATE_2022","THEFTFROMMV_2022","THEFTFROMMV_RATE_2022","THEFTOVER_2022","THEFTOVER_RATE_2022","ASSAULT_2023","ASSAULT_RATE_2023","AUTOTHEFT_2023","AUTOTHEFT_RATE_2023","BIKETHEFT_2023","BIKETHEFT_RATE_2023","BREAKENTER_2023","BREAKENTER_RATE_2023","HOMICIDE_2023","HOMICIDE_RATE_2023","ROBBERY_2023","ROBBERY_RATE_2023","SHOOTING_2023","SHOOTING_RATE_2023","THEFTFROMMV_2023","THEFTFROMMV_RATE_2023","THEFTOVER_2023","THEFTOVER_RATE_2023"
1,383,49424,92,916.044291807339,100,239.519995171577,88,778.57142360881,90,627.19155382365,28,833.255085395649,98,981.404217425734,82,378.030485473573,65,969.355410896242,70,659.692043205723,2,214.457864873111,3,204.166427953169,73,149.685770273209,18,814.413580577821,57,138.950147666037,15,85.8774771913886,42,95.4007720574737,77,850.602811900899,89,971.389071084559,18,871.502015739679,1,43.3751086238772,32,643.916939850897,3,5.78450784087181,3,272.849958389997,43,745.539239607751,80,14.9915835354477,46,80.1963948179036,0,703.391517978162,99,533.122783526778,95,470.987223088741,4,242.56711662747,48,473.416633205488,50,798.063533147797,2,719.034404028207,87,890.938670607284,89,297.563363332301,71,94.2364034708589,81,588.196913711727,37,389.438431710005,34,575.527107808739,53,927.169491769746,58,81.9113655015826,40,869.696053676307,20,636.733883759007,32,639.071722747758,38,667.140005156398,0,836.86804655008,5,745.775987626985,97,949.742715572938,14,144.509376725182,44,302.793718175963,54,39.7372897714376,26,333.95363506861,83,630.670619662851,62,698.655843501911,19,91.4181258995086,45,112.781915115193,16,35.233540693298,64,860.992410220206,70,232.45701356791,66,456.635090056807,97,468.428605003282,79,577.63047539629,98,222.765687620267,30,542.258068453521,95,544.409200316295,79,650.768772931769,56,357.48343472369,48,401.998473331332,59,364.611521130428,38,493.195752613246,97,123.827220173553,23,439.247831702232,21,290.293066063896,73,846.204922534525,60,770.07763646543,100,930.454451590776,50,752.448196522892,34,300.05985382013,75,788.36168977432,92,52.4641876108944,32,401.679039001465,8,535.621089162305,97,546.687315450981,57,379.231914877892,79,912.362619535998,43,251.376874512061,89,836.628356948495,37,283.581004478037,41,574.267168762162,17,845.380067126825
2,347,32499,44,141.705377958715,5,884.665975579992,41,620.956708211452,74,548.678103834391,91,353.845312492922,3,164.331742329523,60,852.189880795777,61,556.687901029363,2,724.542822223157,19,8.21798737160861,34,686.197726754472,21,766.234754351899,73,789.977320469916,13,246.192606864497,62,7.61758792214096,26,627.395682735369,49,586.487835738808,63,261.329760076478,14,11.9952235836536,52,891.39290433377,43,649.862242862582,64,368.387079564855,13,196.332007646561,33,590.389085700735,16,25.5043585784733,64,793.039087671787,76,259.807111462578,6,966.012923745438,19,116.76599108614,77,531.765092629939,8,722.880141111091,17,521.029751747847,24,290.590823860839,77,663.608127972111,49,420.428284211084,87,901.870870264247,9,764.187938999385,96,745.808157138526,67,508.557269349694,23,91.6251810267568,64,475.750969257206,68,335.682397475466,4,443.963966332376,53,201.070641400293,91,894.879534142092,70,406.489466316998,69,427.212396869436,18,125.74343662709,93,64.003970939666,4,793.117293389514,0,776.072479551658,40,882.909781299531,38,21.0884872358292,47,432.85638699308,79,246.150867082179,24,923.478275537491,98,690.661264816299,64,704.444353003055,3,876.125436276197,74,463.578519178554,60,354.324538493529,78,299.576475750655,38,559.58793265745,15,748.589205788448,0,76.253519859165,5,4.42058336921036,100,878.647746285424,93,363.239596830681,79,649.97018314898,42,439.894297160208,20,997.892970219254,58,77.3651637136936,57,540.503618540242,66,57.6528033707291,30,428.984716767445,46,613.682653522119,3,63.1183232180774,88,338.489663321525,9,38.4843503125012,65,698.833319358528,62,781.397044891492,68,73.5735292546451,14,594.310241052881,60,960.51527839154,39,218.928389716893,43,772.838670993224,90,3.96110373549163,30,429.436807520688,86,148.61374348402,72,324.893894139677
3,598,22759,24,250.264642760158,83,249.589542159811,52,86.331482976675,83,158.955245045945,60,608.717021066695,88,502.555705374107,0,164.748307550326,62,5.94438891857862,94,190.967113012448,50,939.128248486668,10,75.231323717162,47,1.41472229734063,16,951.758831506595,18,297.96438338235,69,878.071966348216,67,792.85321990028,60,710.27986635454,88,744.798375060782,97,679.171685595065,77,261.782106477767,27,492.060248740017,30,249.836985953152,54,880.320119671524,21,215.375744039193,97,797.254368430004,23,339.034512406215,50,208.445986267179,18,41.6994958650321,51,683.895751368254,26,227.508288109675,53,720.225502038375,41,81.5927491057664,61,105.832867324352,63,742.246511857957,39,421.295460313559,89,708.557199221104,60,61.1735789570957,23,384.365494130179,55,99.9973972793669,84,918.312147259712,90,801.681729499251,64,434.904993744567,3,246.965864207596,100,343.607880640775,24,825.197269674391,83,306.982828071341,57,410.33613239415,21,426.206199685112,74,225.892408052459,85,503.116318257526,71,103.584658820182,52,385.4604952503,45,558.47119144164,2,137.36431999132,25,510.811351472512,32,877.570223761722,40,877.876075450331,75,350.508292671293,88,714.510855963454,28,524.532876675949,58,586.763774976134,52,155.680105555803,80,503.276520175859,60,613.256086129695,94,756.441593635827,4,221.557970624417,36,887.247535167262,28,715.067108161747,37,661.080445861444,39,595.650429837406,71,756.954848999158,71,401.354092406109,14,475.343462778255,43,29.6827408019453,86,121.393596986309,97,179.396732477471,39,118.07406693697,21,667.30035841465,48,63.8578762300313,67,46.6867322102189,74,890.78272995539,83,800.620725844055,11,765.494169434533,82,421.934912912548,63,424.442587886006,6,44.7567251976579,83,101.356676779687,14,700.332344276831,26,11.654110159725,37,436.877914238721
4,555,26483,11,608.757816487923,17,357.527839252725,99,716.934362892061,45,941.458716522902,17,449.456217465922,19,698.607835918665,13,138.155845459551,44,851.739152800292,94,924.188253236935,8,122.259796829894,52,891.678477404639,41,0.630753114819527,29,594.84756202437,41,184.972901828587,17,162.907065590844,55,411.062883445993,9,996.1353095714,87,955.349056515843,11,52.2107111755759,86,796.004319796339,54,138.688127277419,84,569.519657641649,37,642.420029500499,1,557.381047634408,33,352.040207246318,71,503.388448618352,32,828.294953564182,0,682.620185660198,98,128.472086973488,46,784.637612523511,82,494.611122412607,99,562.599790981039,94,26.4617218635976,15,269.154392182827,75,111.203013220802,7,897.268357686698,46,579.791599651799,33,448.845695471391,93,697.041481966153,92,404.055413790047,77,436.316018924117,93,843.04064582102,24,612.024111440405,33,938.13515920192,16,295.418470865116,1,237.545333337039,13,103.172145085409,60,117.638419382274,94,238.541325787082,44,963.251376291737,47,464.22494458966,16,354.757281020284,51,515.511024044827,36,413.133084308356,53,457.095080055296,83,4.90341684781015,12,646.313420962542,13,933.360675815493,59,385.725156404078,2,568.820247426629,10,767.079401761293,96,493.313579121605,17,83.5147332400084,49,111.190922092646,22,818.554288242012,40,270.113790873438,5,739.236573223025,75,662.123577902094,76,714.519997360185,84,318.970977561548,27,101.046024123207,18,212.693720823154,68,329.462131019682,100,502.515595406294,89,417.387670604512,50,502.631697803736,35,884.301105514169,54,396.416404750198,63,679.50850375928,18,158.379240892828,31,829.423227813095,7,344.587367027998,15,217.965605203062,1,753.339736256748,28,449.375737924129,31,742.438946152106,43,908.439986407757,63,123.388304607943,17,0.0226052943617105,15,945.977239636704
5,220,48078,48,993.334031431004,0,126.093200407922,98,11.2364168744534,29,959.697546670213,44,287.25951956585,84,999.887185404077,17,367.717663757503,0,461.775799281895,27,83.191687008366,18,889.936394058168,12,15.188408549875,69,826.259855413809,19,170.367431594059,3,972.251447150484,21,244.756622938439,21,381.160756805912,1,751.660939771682,66,304.997550789267,53,776.000556536019,83,307.247134391218,46,179.202425060794,89,196.69420667924,43,976.302043767646,5,2.64428113587201,94,413.862278917804,72,312.869901536033,80,907.754810992628,83,745.672515593469,61,707.873571896926,40,784.824221860617,52,806.113419355825,5,968.362180283293,100,147.828785236925,49,284.816945437342,28,908.68083294481,72,40.4041539877653,41,186.516914982349,38,441.101830685511,43,244.99994260259,1,177.827238570899,34,92.0220487751067,18,588.451053015888,19,271.447755163535,43,214.81573022902,14,856.876378878951,42,681.920015718788,42,585.564482957125,25,944.482160499319,18,108.626233646646,70,805.11764716357,59,867.411273764446,21,13.386033475399,55,880.211313720793,35,994.817164726555,9,730.753279989585,95,46.0536517202854,81,356.75579844974,49,967.220891034231,4,398.611940909177,86,773.530764738098,88,371.318647172302,100,399.736475665122,63,204.939062241465,20,553.331309463829,67,314.913374604657,60,497.430480318144,34,696.201644605026,36,865.593619877473,71,535.444683162495,25,552.601641509682,91,649.069202365354,93,875.057681230828,99,830.619563581422,76,379.088864196092,9,84.6264308784157,8,294.737811433151,71,549.047183711082,98,817.812651861459,21,793.868101667613,19,649.091702653095,71,896.178653230891,93,626.397616695613,69,174.989230697975,95,429.702311521396,95,376.566681079566,73,393.202429404482,41,544.899391010404,28,111.219696700573,59,52.0746789406985,29,707.02927117236
6,782,43123,28,947.036641184241,35,919.611620716751,92,976.287882309407,25,133.61872243695,64,722.154910909012,35,885.087788337842,63,872.279538307339,84,89.8663511034101,98,950.624171644449,22,475.797046441585,21,442.566744983196,35,223.824424669147,0,737.215287284926,39,773.423820734024,80,556.410934077576,54,304.248832864687,1,19.8897258378565,42,316.870605107397,78,249.422945082188,20,709.858351154253,72,491.470467066392,75,971.830062335357,85,732.001953758299,64,612.276617437601,91,59.3063787091523,41,32.9925934784114,78,713.986113201827,41,872.432472649962,6,105.780788697302,85,572.33716850169,23,243.485246319324,31,649.83276068233,60,119.321405654773,97,143.49269727245,25,268.606204539537,26,692.822909448296,13,699.502884643152,59,479.035272495821,65,689.708035904914,36,465.317657683045,37,110.421765130013,48,164.011844201013,90,266.316495137289,0,286.018979735672,41,653.268463909626,1,595.700026256964,20,638.173137791455,57,718.181944685057,13,419.554186286405,95,472.949431510642,18,759.536280296743,86,511.502051493153,60,246.287480229512,88,704.401286784559,14,457.213774789125,14,122.006889199838,72,806.775662582368,24,301.610105670989,58,601.678423117846,90,265.285717323422,7,137.274604989216,82,339.705205056816,27,616.399090969935,66,360.914314631373,39,712.602582992986,21,4.83697187155485,17,892.6805134397,87,672.301505925134,84,152.054782491177,54,502.900030231103,15,55.975598981604,87,2.48874793760478,86,931.921949610114,31,559.385495493189,87,506.885120179504,47,288.072222378105,87,206.471399171278,63,894.609921844676,12,341.097957920283,76,417.171754874289,6,518.058848567307,68,995.550820603967,56,210.514395032078,9,168.625748250633,78,343.567017000169,24,585.182988084853,29,326.178751885891,93,430.872533004731,70,826.356212608516,67,123.749675229192
7,714,2853,7,450.268617831171,51,197.552127297968,21,384.596266318113,19,195.002819178626,92,143.941927468404,86,227.30429796502,55,332.855525193736,5,976.115779019892,25,299.404548481107,14,476.526617538184,13,935.130427591503,74,574.488346464932,56,817.728088703007,59,331.034732982516,64,168.215864337981,16,135.457073105499,6,475.448865676299,47,907.621510094032,91,936.585735064,60,829.299296019599,29,636.549327755347,94,373.035463504493,99,267.159162089229,53,400.05406155251,10,956.91535435617,33,863.136019324884,86,257.016467629001,24,297.575219534338,52,403.483147500083,4,590.569094289094,49,160.977618535981,91,659.051034366712,58,5.03708864562213,85,567.078575491905,16,22.6846809964627,25,600.014729890972,88,964.799856767058,87,605.46213039197,36,424.626606749371,62,15.9003231674433,44,572.481336072087,91,197.836477775127,30,701.719401637092,78,371.578792110085,87,797.357874922454,50,724.368980387226,42,827.504267916083,70,669.611227000132,66,220.90322477743,54,939.858516678214,18,588.801753008738,32,943.869753042236,44,50.4780008923262,39,774.279284989461,51,835.574153577909,17,212.908341782168,100,51.0197044350207,58,532.315621851012,58,912.812611088157,60,949.381995247677,39,477.279458660632,25,452.158274827525,33,531.348044984043,63,965.0684511289,90,961.478122510016,73,954.21793195419,44,367.809067713097,34,992.733837570995,89,165.510474005714,41,658.473758725449,81,736.932199914008,64,16.5790216997266,32,612.716226605698,45,839.828458148986,11,52.241969620809,8,414.338832488284,4,39.4036672078073,51,553.775455569848,58,469.648725353181,68,984.711746452376,39,275.135948322713,67,155.222666449845,88,196.408032206818,81,828.919144812971,96,2.65572965145111,44,616.099553182721,98,517.816227860749,50,68.5653300024569,47,938.183304620907,99,503.069312311709
8,912,35126,24,91.7434005532414,15,490.363790653646,83,891.315873479471,56,455.471860710531,64,826.742391800508,50,251.515549840406,21,821.558924391866,52,241.73411144875,10,468.965163454413,3,107.291977386922,13,424.663696903735,58,331.310142064467,76,665.038386592641,63,561.620689695701,33,250.38982485421,9,935.081756440923,1,167.003198293969,28,305.816857842728,12,819.020796334371,90,385.169974062592,98,195.538784144446,66,816.350728971884,32,891.828522784635,68,85.1410974282771,96,557.048108661547,3,401.22772520408,1,751.987328287214,75,592.394892359152,39,723.144082352519,62,873.822272522375,48,882.462638430297,98,544.53887953423,12,992.645716993138,89,744.219857500866,36,620.305810822174,52,154.045718722045,6,204.981139395386,19,616.362395929173,28,133.880260866135,17,587.098678573966,65,533.054909436032,63,614.047118462622,15,911.978612653911,18,536.137497751042,9,273.584605427459,88,546.762130688876,70,988.664434989914,67,116.629583993927,76,356.639996403828,10,978.132880758494,36,943.809009389952,87,719.976489897817,2,315.047577489167,72,562.45355727151,39,328.247609781101,65,636.078300885856,33,452.187922084704,97,818.174928659573,44,609.299156116322,14,673.465905012563,68,969.804748194292,11,642.203332856297,99,292.421175399795,69,339.442252414301,62,267.806141870096,5,424.388647545129,43,667.520963121206,56,509.510130155832,58,532.199865672737,41,887.628893135116,76,743.32000175491,10,22.3338413052261,4,462.471941486001,100,106.321639148518,6,32.7553735114634,28,806.947571923956,85,175.524200778455,83,169.315723935142,67,229.971103835851,76,467.427810886875,24,394.301100401208,63,465.573032852262,47,930.932837771252,1,975.520308595151,16,75.1925478689373,17,867.120401468128,34,554.277276620269,2,461.677706567571,26,574.122530408204,13,436.539797112346
9,901,13981,69,859.511304181069,43,163.139121839777,70,327.447040006518,61,854.551987489685,14,489.335620775819,13,237.149530090392,30,976.110211806372,6,302.956806961447,64,360.566031653434,91,527.725098887458,37,308.630192186683,20,304.062014212832,43,369.727639248595,20,74.6255163103342,33,537.733795819804,71,466.446941485628,92,49.0125622600317,9,394.708800362423,35,457.427558954805,81,972.339821048081,81,108.065849170089,28,613.986787386239,100,741.655048914254,67,700.557648437098,42,112.590449629351,33,781.261221971363,48,769.211957463995,43,7.79516831971705,9,655.305670341477,78,389.194948365912,45,695.75047516264,67,937.182291643694,75,103.781661018729,53,539.03445112519,54,155.88800702244,52,154.222435317934,97,483.321433188394,56,107.621677685529,44,435.511217219755,89,206.629357999191,99,315.216474235058,84,526.58976893872,31,144.934486364946,21,199.718307936564,15,170.423837844282,56,915.333583252504,4,127.303859684616,25,171.368846669793,85,622.562151169404,96,165.044288616627,51,658.169594360515,70,824.426103616133,75,813.854126026854,95,288.648749934509,48,418.78852667287,12,170.3555311542,11,545.51432072185,72,950.241942889988,58,365.28420355171,72,462.376088136807,75,616.994343232363,69,870.729903224856,5,2.16312985867262,81,397.899635834619,34,738.737728912383,26,268.579239258543,16,901.99882700108,58,103.866918710992,42,953.316830098629,41,127.23721540533,76,482.062582625076,62,625.551455421373,2,872.557818423957,77,764.676933176816,15,959.958137944341,55,91.7391304392368,89,622.682098532096,48,924.237723695114,61,64.651605905965,42,806.963857728988,17,677.068638149649,50,390.558955958113,25,225.654031150043,22,274.072973523289,11,735.646775690839,80,265.908433590084,60,322.70006975159,17,27.853335486725,53,290.80715496093,8,90.5703944154084
10,531,24355,74,869.470942299813,81,46.7199278064072,100,691.875409567729,54,749.586849939078,49,128.863452002406,3,575.111344922334,78,158.54496951215,32,767.938259290531,19,535.78619309701,30,976.732833776623,84,111.862303456292,72,673.836505273357,10,335.898933000863,33,850.87621724233,78,697.153380606323,1,1.77408033050597,17,439.79894882068,99,944.212581496686,98,755.655822344124,30,386.792510515079,18,632.767691276968,76,504.367598332465,92,55.2483899518847,7,191.911180969328,98,791.004956467077,3,660.655885003507,65,774.551681010053,32,696.75301737152,34,510.845815297216,65,70.0994019862264,56,534.067398170009,58,497.536567039788,8,780.792381381616,0,832.691967487335,3,777.46470621787,85,478.235090151429,60,913.328832713887,4,707.008080789819,64,616.029159864411,43,838.024311233312,42,685.621738201007,12,571.514688897878,15,514.870326966047,66,467.994409846142,61,189.037079457194,27,283.190324669704,9,240.480457898229,34,51.0867941193283,76,753.745920024812,2,882.444390794262,47,550.292986212298,94,126.355068525299,98,911.452361149713,58,627.937051933259,45,744.44066407159,78,361.054993001744,64,700.001219287515,90,732.404929120094,26,28.9881848730147,37,720.037236111239,5,993.421945022419,19,998.101478908211,73,621.402913238853,81,142.66963605769,88,63.5212636552751,92,556.59819720313,21,401.645396603271,49,958.837931510061,55,740.927098784596,63,665.811988292262,45,378.342688316479,100,53.3914568368345,63,365.272606024519,5,977.963497396559,19,858.12673298642,38,107.183114625514,94,809.100911254063,78,333.477647742257,32,654.171905480325,100,459.683746565133,71,63.0039949901402,2,558.09583957307,62,489.083725260571,99,963.341187220067,52,676.374773262069,40,875.267118681222,72,401.896430179477,50,268.720087828115,33,893.6448819004,69,75.0938493292779
