AREA_NAME,Crime_Type,Total_Count
Agincourt North,ASSAULT,3243.3410797
Agincourt North,AUTOTHEFT,1973.25872412
Agincourt North,BIKETHEFT,94.389223332
Agincourt North,BREAKENTER,1827.05498117
Agincourt North,HOMICIDE,4.30163765
Agincourt North,ROBBERY,1033.3128758
Agincourt North,SHOOTING,34.099249123999996
Agincourt North,THEFTFROMMV,2394.78279979
Agincourt North,THEFTOVER,193.125739097
Agincourt South-Malvern West,ASSAULT,6479.7632445
Agincourt South-Malvern West,AUTOTHEFT,2547.2773285
Agincourt South-Malvern West,BIKETHEFT,278.658923362
Agincourt South-Malvern West,BREAKENTER,3551.3068848
Agincourt South-Malvern West,HOMICIDE,19.14445281
Agincourt South-Malvern West,ROBBERY,1246.65052788
Agincourt South-Malvern West,SHOOTING,139.018566614
Agincourt South-Malvern West,THEFTFROMMV,3617.2641665
Agincourt South-Malvern West,THEFTOVER,562.29543686
Alderwood,ASSAULT,3230.1663817999997
Alderwood,AUTOTHEFT,2382.58013159
Alderwood,BIKETHEFT,435.51839785
Alderwood,BREAKENTER,2328.9901581
Alderwood,HOMICIDE,34.61802864
Alderwood,ROBBERY,632.49066353
Alderwood,SHOOTING,26.250141144
Alderwood,THEFTFROMMV,3152.3721454
Alderwood,THEFTOVER,579.11087799
Annex,ASSAULT,11615.4433588
Annex,AUTOTHEFT,1453.43167119
Annex,BIKETHEFT,4904.9544750000005
Annex,BREAKENTER,6348.5895079
Annex,HOMICIDE,12.50342083
Annex,ROBBERY,1888.4195861
Annex,SHOOTING,58.994489912
Annex,THEFTFROMMV,6003.0568509
Annex,THEFTOVER,1410.29358683
Avondale,ASSAULT,3684.3328858
Avondale,AUTOTHEFT,1161.9251751230001
Avondale,BIKETHEFT,1245.31891657
Avondale,BREAKENTER,931.75687792
Avondale,HOMICIDE,99.43888997799999
Avondale,ROBBERY,492.91151809
Avondale,SHOOTING,31.310688972
Avondale,THEFTFROMMV,1782.7298928100001
Avondale,THEFTOVER,343.519964693
Banbury-Don Mills,ASSAULT,3910.7733459
Banbury-Don Mills,AUTOTHEFT,1846.30799678
Banbury-Don Mills,BIKETHEFT,375.40298216
Banbury-Don Mills,BREAKENTER,2887.50001528
Banbury-Don Mills,HOMICIDE,4.220923185
Banbury-Don Mills,ROBBERY,673.22177031
Banbury-Don Mills,SHOOTING,65.324900149
Banbury-Don Mills,THEFTFROMMV,2454.2649185
Banbury-Don Mills,THEFTOVER,465.93273353
Bathurst Manor,ASSAULT,4252.2229613
Bathurst Manor,AUTOTHEFT,2914.0831298
Bathurst Manor,BIKETHEFT,456.1253606
Bathurst Manor,BREAKENTER,2116.1537398
Bathurst Manor,HOMICIDE,6.7954216
Bathurst Manor,ROBBERY,814.68628692
Bathurst Manor,SHOOTING,20.747877121000002
Bathurst Manor,THEFTFROMMV,3115.4980103
Bathurst Manor,THEFTOVER,280.648462301
Bay-Cloverhill,ASSAULT,9058.2463379
Bay-Cloverhill,AUTOTHEFT,771.94529532
Bay-Cloverhill,BIKETHEFT,5497.4627293
Bay-Cloverhill,BREAKENTER,3894.5661314999998
Bay-Cloverhill,HOMICIDE,6.845560074
